symptoms,condition,natural_remedy,medicine,advice
"dry skin, cold intolerance, constipation, fatigue",Hypothyroidism,selenium (Brazil nuts),levothyroxine,Take medication on an empty stomach and schedule regular thyroid tests.
"dehydration, nausea, stomach cramps, watery diarrhea",Gastroenteritis,ginger tea,bismuth subsalicylate,Hydrate continuously and gradually reintroduce bland foods.
"headache, nosebleeds, dizziness",Hypertension,reduce salt; meditation,amlodipine,"Reduce salt intake, stay active, and monitor blood pressure."
"jaundice, bloating, shoulder pain",Gallstones,dandelion tea,acetaminophen,Follow a low-fat diet and maintain a healthy weight.
"severe flank pain, sweating, vomiting, hematuria, frequent urination",Kidney Stones,basil tea; lemon water,ibuprofen,Drink plenty of water and strain urine to collect stones if possible.
"shortness of breath, brittle nails, pale skin, rapid heartbeat, dizziness, fatigue",Anemia (Iron Deficiency),blackstrap molasses,ferrous sulfate,Increase dietary iron and take supplements as directed.
"bloating, right upper abdomen pain, vomiting",Gallstones,dandelion tea,acetaminophen,Follow a low-fat diet and maintain a healthy weight.
"mild fever, chest tightness, wheezing",Bronchitis (Acute),thyme tea; honey lemon drink,albuterol inhaler,Avoid smoking and rest your voice while staying hydrated.
"nasal congestion, pressure behind eyes, thick nasal discharge, reduced smell, facial pain, headache",Sinusitis,steam inhalation; saline rinse,nasal corticosteroid,Use a humidifier and stay hydrated to thin mucus.
"dry patches, inflammation, small bumps",Eczema Flare,coconut oil; oatmeal bath,hydrocortisone cream,Moisturize daily and avoid harsh soaps or detergents.
"fatigue, loss of interest, sleep changes, feelings of guilt, appetite change, persistent sadness",Mild Depression,sunlight exposure,fluoxetine,Seek counseling and maintain a consistent routine.
"fever, sore throat, loss of smell, body aches, fatigue",COVID‑19 (Mild),warm fluids; steam inhalation,acetaminophen,"Isolate, monitor symptoms, and stay hydrated."
"heartburn, vomiting, indigestion, bloating",Peptic Ulcer,cabbage juice; probiotics,amoxicillin-clarithromycin combo,Avoid NSAIDs and eat at regular intervals.
"nausea, right upper abdomen pain, shoulder pain, vomiting, jaundice, bloating",Gallstones,apple cider vinegar; dandelion tea,acetaminophen,Follow a low-fat diet and maintain a healthy weight.
"high fever, nausea, joint pain, severe headache",Dengue Fever,hydration,oral rehydration salts,Rest under mosquito net and monitor for warning signs of severe dengue.
"slow heart rate, fatigue, cold intolerance, dry skin, constipation, weight gain",Hypothyroidism,iodine-rich foods,levothyroxine,Take medication on an empty stomach and schedule regular thyroid tests.
"fever, painful swallowing, sore throat, white patches",Strep Throat,honey lemon tea; saltwater gargle,penicillin,Finish antibiotics and replace your toothbrush after recovery.
"brittle nails, pale skin, rapid heartbeat",Anemia (Iron Deficiency),spinach smoothie,ferrous sulfate,Increase dietary iron and take supplements as directed.
"lower back pain, cloudy urine, burning urination, urgency, frequent urination",Urinary Tract Infection,cranberry juice,nitrofurantoin,Drink plenty of water and urinate frequently to flush bacteria.
"rough skin, dry patches, red rash, itchy skin, small bumps, inflammation",Eczema Flare,oatmeal bath,hydrocortisone cream,Moisturize daily and avoid harsh soaps or detergents.
"sore throat, painful swallowing, headache",Strep Throat,honey lemon tea; saltwater gargle,amoxicillin,Finish antibiotics and replace your toothbrush after recovery.
"fever, irritability, ear pain, hearing loss, fluid drainage",Otitis Media,warm compress,amoxicillin,Finish antibiotics and keep ears dry while healing.
"frequent urination, lower back pain, burning urination, urgency",Urinary Tract Infection,cranberry juice,nitrofurantoin,Drink plenty of water and urinate frequently to flush bacteria.
"itching, red eyes, gritty feeling",Conjunctivitis (Pink Eye),saline eye rinse,polymyxin/trimethoprim eye drops,Avoid touching eyes and wash hands frequently.
"sensitivity to light, throbbing headache, aura",Migraine,rest in a dark room,sumatriptan,Rest in a dark quiet room and track food or stress triggers.
"muscle spasms, lower back pain, limited range of motion, pain worse with bending, stiffness",Back Strain,gentle stretching; heat therapy,ibuprofen,Practice proper lifting techniques and perform core-strengthening exercises.
"chronic cough, chest discomfort, hoarseness",Gastroesophageal Reflux Disease (GERD),ginger tea; chewing gum,omeprazole,Avoid large meals and do not lie down immediately after eating.
"dizziness, rapid pulse, weakness, nausea, heavy sweating, headache",Heat Exhaustion,rest in shade; cool fluids,electrolyte solution,Move to a cool area and sip water or an electrolyte drink.
"fatigue, persistent sadness, sleep changes",Mild Depression,sunlight exposure,sertraline,Seek counseling and maintain a consistent routine.
"fatigue, shortness of breath, dizziness",Anemia (Iron Deficiency),blackstrap molasses,ferrous sulfate,Increase dietary iron and take supplements as directed.
"pain near navel, low-grade fever, nausea, loss of appetite, vomiting",Appendicitis (Early),ginger tea; warm compress,ceftriaxone,Seek emergency care; surgery is usually required.
"itchy skin, rough skin, inflammation, red rash",Eczema Flare,oatmeal bath; coconut oil,hydrocortisone cream,Moisturize daily and avoid harsh soaps or detergents.
"irritability, restlessness, excessive worry",Anxiety Disorder,deep breathing; chamomile tea,sertraline,"Practice mindfulness, and engage in regular physical activity."
"belching, mild heartburn, nausea, early fullness",Indigestion,warm water with lemon; peppermint tea,simethicone,Eat smaller meals and avoid spicy or fatty foods.
"low-grade fever, vomiting, loss of appetite, abdominal pain, nausea, pain near navel",Appendicitis (Early),ginger tea,acetaminophen,Seek emergency care; surgery is usually required.
"increased thirst, tingling feet, slow healing wounds, blurred vision",Type 2 Diabetes,brisk walking; cinnamon,metformin,"Monitor blood sugar, follow a balanced diet, and exercise regularly."
"nausea, loss of appetite, abdominal pain, low-grade fever, pain near navel",Appendicitis (Early),warm compress; ginger tea,acetaminophen,Seek emergency care; surgery is usually required.
"rapid pulse, dizziness, heavy sweating, nausea, weakness",Heat Exhaustion,rest in shade,IV fluids,Move to a cool area and sip water or an electrolyte drink.
"joint pain, scaly patches, cracked skin, nail pitting, red plaques, itchy skin",Psoriasis Flare,omega‑3 fish oil; aloe vera gel,vitamin D analog,Keep skin moisturized and avoid triggers like stress or smoking.
"pain behind eyes, rash, nausea",Dengue Fever,papaya leaf extract; hydration,oral rehydration salts,Rest under mosquito net and monitor for warning signs of severe dengue.
"pain behind eyes, joint pain, nausea, severe headache, high fever, rash",Dengue Fever,papaya leaf extract,oral rehydration salts,Rest under mosquito net and monitor for warning signs of severe dengue.
"raised bumps, fatigue, loss of appetite",Chickenpox,calamine lotion,calamine lotion,Keep fingernails short and avoid scratching lesions.
"persistent sadness, loss of interest, appetite change, feelings of guilt, sleep changes",Mild Depression,sunlight exposure,sertraline,Seek counseling and maintain a consistent routine.
"cough with phlegm, shortness of breath, fever, fatigue",Pneumonia (Mild),turmeric milk; warm fluids,amoxicillin,Complete antibiotics and practice deep breathing exercises.
"fatigue, loss of smell, sore throat",COVID‑19 (Mild),steam inhalation; warm fluids,acetaminophen,"Isolate, monitor symptoms, and stay hydrated."
"shortness of breath, fever, chest pain on breathing, fatigue, chills, cough with phlegm",Pneumonia (Mild),warm fluids; turmeric milk,azithromycin,Complete antibiotics and practice deep breathing exercises.
"fatigue, shortness of breath, dizziness, rapid heartbeat, brittle nails",Anemia (Iron Deficiency),blackstrap molasses,ferrous sulfate,Increase dietary iron and take supplements as directed.
"indigestion, heartburn, nausea, burning stomach pain, bloating, vomiting",Peptic Ulcer,probiotics; cabbage juice,amoxicillin-clarithromycin combo,Avoid NSAIDs and eat at regular intervals.
"slow heart rate, constipation, weight gain, fatigue, cold intolerance, dry skin",Hypothyroidism,selenium (Brazil nuts),levothyroxine,Take medication on an empty stomach and schedule regular thyroid tests.
"bloating, heartburn, nausea",Peptic Ulcer,cabbage juice; probiotics,omeprazole,Avoid NSAIDs and eat at regular intervals.
"tearing, red eyes, itching, discharge, swollen eyelids, gritty feeling",Conjunctivitis (Pink Eye),saline eye rinse,polymyxin/trimethoprim eye drops,Avoid touching eyes and wash hands frequently.
"dizziness, fatigue, headache",Hypertension,reduce salt,lisinopril,"Reduce salt intake, stay active, and monitor blood pressure."
"vomiting, right upper abdomen pain, nausea, shoulder pain, jaundice, bloating",Gallstones,dandelion tea,acetaminophen,Follow a low-fat diet and maintain a healthy weight.
"throbbing headache, vomiting, aura, nausea, sensitivity to light, blurred vision",Migraine,peppermint oil; cold compress,ibuprofen,Rest in a dark quiet room and track food or stress triggers.
"blurry vision, fatigue, headache",Hypertension,reduce salt; hibiscus tea,amlodipine,"Reduce salt intake, stay active, and monitor blood pressure."
"mild fever, fatigue, chest tightness, wheezing, persistent cough",Bronchitis (Acute),thyme tea,albuterol inhaler,Avoid smoking and rest your voice while staying hydrated.
"tremor, palpitations, weight loss, heat intolerance, anxiety, increased appetite",Hyperthyroidism,avoid caffeine; lemon balm tea,methimazole,Get regular thyroid tests and avoid excess iodine-rich food.
"alternating diarrhea and constipation, gas, mucus in stool, abdominal pain, cramping",Irritable Bowel Syndrome,yoga,dicyclomine,Follow a low-FODMAP diet and manage stress.
"bloating, jaundice, right upper abdomen pain, shoulder pain, vomiting, nausea",Gallstones,apple cider vinegar; dandelion tea,acetaminophen,Follow a low-fat diet and maintain a healthy weight.
"thick nasal discharge, nasal congestion, reduced smell, pressure behind eyes",Sinusitis,warm compress; saline rinse,amoxicillin,Use a humidifier and stay hydrated to thin mucus.
"pressure behind eyes, headache, thick nasal discharge, reduced smell, nasal congestion, facial pain",Sinusitis,warm compress,nasal corticosteroid,Use a humidifier and stay hydrated to thin mucus.
"rapid breathing, anxiety, chest tightness, shortness of breath, wheezing, coughing",Asthma Exacerbation,ginger tea,albuterol inhaler,Use inhaler as prescribed and avoid known triggers.
"irritability, racing heart, difficulty concentrating, sweating",Anxiety Disorder,deep breathing,sertraline,"Practice mindfulness, and engage in regular physical activity."
"dizziness, fatigue, dark urine, dry mouth",Dehydration,oral rehydration; coconut water,oral rehydration salts,Increase fluid intake and avoid alcohol or caffeine.
"fatigue, dizziness, shortness of breath, rapid heartbeat",Anemia (Iron Deficiency),blackstrap molasses; spinach smoothie,ferrous sulfate,Increase dietary iron and take supplements as directed.
"right upper abdomen pain, vomiting, nausea, shoulder pain",Gallstones,apple cider vinegar,acetaminophen,Follow a low-fat diet and maintain a healthy weight.
"nausea, abdominal pain, loss of appetite, vomiting, low-grade fever",Appendicitis (Early),ginger tea,acetaminophen,Seek emergency care; surgery is usually required.
"mild heartburn, bloating, early fullness, belching",Indigestion,warm water with lemon; peppermint tea,simethicone,Eat smaller meals and avoid spicy or fatty foods.
"gritty feeling, itching, tearing, discharge",Conjunctivitis (Pink Eye),saline eye rinse,polymyxin/trimethoprim eye drops,Avoid touching eyes and wash hands frequently.
"gas, cramping, bloating",Irritable Bowel Syndrome,peppermint oil capsules; soluble fiber,loperamide,Follow a low-FODMAP diet and manage stress.
"sneezing, nasal congestion, sore throat, mild cough, runny nose, low-grade fever",Common Cold,steam inhalation; honey lemon tea,acetaminophen,"Rest, drink plenty of fluids, and avoid close contact."
"right upper abdomen pain, bloating, nausea",Gallstones,dandelion tea; apple cider vinegar,ursodeoxycholic acid,Follow a low-fat diet and maintain a healthy weight.
"dizziness, nausea, headache, heavy sweating, rapid pulse, weakness",Heat Exhaustion,cool fluids; rest in shade,IV fluids,Move to a cool area and sip water or an electrolyte drink.
"vomiting, nausea, fever",Food Poisoning,ginger tea,loperamide,"Rest, rehydrate, and introduce a bland diet like BRAT slowly."
"blurred vision, sensitivity to light, aura, nausea",Migraine,peppermint oil; rest in a dark room,ibuprofen,Rest in a dark quiet room and track food or stress triggers.
"dehydration, low-grade fever, vomiting, stomach cramps, nausea",Gastroenteritis,oral rehydration,bismuth subsalicylate,Hydrate continuously and gradually reintroduce bland foods.
"increased thirst, blurred vision, fatigue, tingling feet",Type 2 Diabetes,fenugreek seeds; cinnamon,glipizide,"Monitor blood sugar, follow a balanced diet, and exercise regularly."
"tugging at ear, hearing loss, fluid drainage, fever, irritability",Otitis Media,warm compress,amoxicillin,Finish antibiotics and keep ears dry while healing.
"thick nasal discharge, nasal congestion, reduced smell, headache",Sinusitis,warm compress; steam inhalation,amoxicillin,Use a humidifier and stay hydrated to thin mucus.
"loss of interest, sleep changes, persistent sadness",Mild Depression,sunlight exposure; regular exercise,fluoxetine,Seek counseling and maintain a consistent routine.
"dry patches, red rash, itchy skin",Eczema Flare,coconut oil,cetirizine,Moisturize daily and avoid harsh soaps or detergents.
"palpitations, weight loss, tremor",Hyperthyroidism,lemon balm tea; avoid caffeine,methimazole,Get regular thyroid tests and avoid excess iodine-rich food.
"wheezing, persistent cough, fatigue",Bronchitis (Acute),honey lemon drink,dextromethorphan,Avoid smoking and rest your voice while staying hydrated.
"headache, fatigue, dizziness, blurry vision, shortness of breath, nosebleeds",Hypertension,meditation; hibiscus tea,amlodipine,"Reduce salt intake, stay active, and monitor blood pressure."
"nausea, joint pain, severe headache, rash, high fever, pain behind eyes",Dengue Fever,hydration,oral rehydration salts,Rest under mosquito net and monitor for warning signs of severe dengue.
"sore throat, body aches, loss of smell, fever, dry cough",COVID‑19 (Mild),steam inhalation; warm fluids,nirmatrelvir/ritonavir,"Isolate, monitor symptoms, and stay hydrated."
"blurred vision, nausea, aura, vomiting, throbbing headache",Migraine,peppermint oil; rest in a dark room,sumatriptan,Rest in a dark quiet room and track food or stress triggers.
"frequent urination, cloudy urine, lower back pain, urgency",Urinary Tract Infection,drinking water; cranberry juice,nitrofurantoin,Drink plenty of water and urinate frequently to flush bacteria.
"rapid pulse, nausea, headache",Heat Exhaustion,rest in shade,IV fluids,Move to a cool area and sip water or an electrolyte drink.
"constipation, fatigue, slow heart rate",Hypothyroidism,iodine-rich foods; selenium (Brazil nuts),levothyroxine,Take medication on an empty stomach and schedule regular thyroid tests.
"headache, thick nasal discharge, reduced smell, pressure behind eyes, nasal congestion, facial pain",Sinusitis,saline rinse; steam inhalation,amoxicillin,Use a humidifier and stay hydrated to thin mucus.
"headache, facial pain, pressure behind eyes, thick nasal discharge, reduced smell",Sinusitis,saline rinse,amoxicillin,Use a humidifier and stay hydrated to thin mucus.
"low-grade fever, dehydration, nausea, vomiting, stomach cramps, watery diarrhea",Gastroenteritis,oral rehydration; ginger tea,bismuth subsalicylate,Hydrate continuously and gradually reintroduce bland foods.
"shooting leg pain, lower back pain, pain radiates below knee",Sciatica,yoga stretches,naproxen,Do regular stretching and avoid prolonged sitting.
"red eyes, tearing, discharge, swollen eyelids",Conjunctivitis (Pink Eye),saline eye rinse; warm compress,polymyxin/trimethoprim eye drops,Avoid touching eyes and wash hands frequently.
"alternating diarrhea and constipation, cramping, abdominal pain, bloating, mucus in stool, gas",Irritable Bowel Syndrome,yoga; soluble fiber,dicyclomine,Follow a low-FODMAP diet and manage stress.
"low-grade fever, sore throat, mild cough",Common Cold,steam inhalation; honey lemon tea,acetaminophen,Use a humidifier and keep the head elevated while sleeping.
"difficulty concentrating, irritability, sweating, excessive worry, racing heart, restlessness",Anxiety Disorder,chamomile tea; deep breathing,alprazolam,"Practice mindfulness, and engage in regular physical activity."
"loss of smell, sore throat, fatigue",COVID‑19 (Mild),warm fluids; steam inhalation,acetaminophen,"Isolate, monitor symptoms, and stay hydrated."
"numbness, tingling, lower back pain, pain radiates below knee, shooting leg pain, weakness",Sciatica,cold and heat therapy; yoga stretches,gabapentin,Do regular stretching and avoid prolonged sitting.
"red rash, small bumps, inflammation, rough skin, itchy skin, dry patches",Eczema Flare,oatmeal bath,hydrocortisone cream,Moisturize daily and avoid harsh soaps or detergents.
"abdominal pain, low-grade fever, vomiting, nausea, pain near navel, loss of appetite",Appendicitis (Early),warm compress,acetaminophen,Seek emergency care; surgery is usually required.
"shortness of breath, rapid breathing, wheezing, coughing",Asthma Exacerbation,ginger tea; breathing exercises,albuterol inhaler,Use inhaler as prescribed and avoid known triggers.
"vomiting, bloating, shoulder pain, nausea",Gallstones,dandelion tea,ursodeoxycholic acid,Follow a low-fat diet and maintain a healthy weight.
"shoulder tension, dull head pain, mild light sensitivity, scalp tenderness",Tension Headache,chamomile tea,acetaminophen,Manage stress and maintain good posture with regular breaks.
"nausea, bloating, mild heartburn, belching",Indigestion,warm water with lemon; peppermint tea,antacid,Eat smaller meals and avoid spicy or fatty foods.
"red rash, itchy skin, inflammation, rough skin, dry patches",Eczema Flare,oatmeal bath,cetirizine,Moisturize daily and avoid harsh soaps or detergents.
"fatigue, shortness of breath, brittle nails, dizziness",Anemia (Iron Deficiency),blackstrap molasses; spinach smoothie,ferrous sulfate,Increase dietary iron and take supplements as directed.
"blurred vision, tingling feet, slow healing wounds, frequent urination",Type 2 Diabetes,cinnamon; fenugreek seeds,metformin,"Monitor blood sugar, follow a balanced diet, and exercise regularly."
"thirst, dark urine, dizziness",Dehydration,oral rehydration; coconut water,oral rehydration salts,Increase fluid intake and avoid alcohol or caffeine.
"aura, throbbing headache, sensitivity to light, nausea",Migraine,rest in a dark room; peppermint oil,ibuprofen,Rest in a dark quiet room and track food or stress triggers.
"mild cough, low-grade fever, sneezing, nasal congestion, sore throat",Common Cold,steam inhalation; saltwater gargle,pseudoephedrine,Use a humidifier and keep the head elevated while sleeping.
"shortness of breath, chest tightness, wheezing, coughing, anxiety, rapid breathing",Asthma Exacerbation,ginger tea,albuterol inhaler,Use inhaler as prescribed and avoid known triggers.
"rapid pulse, dizziness, weakness, heavy sweating, headache",Heat Exhaustion,cool fluids; rest in shade,IV fluids,Move to a cool area and sip water or an electrolyte drink.
"scalp tenderness, mild light sensitivity, dull head pain, shoulder tension",Tension Headache,neck stretching,naproxen,Manage stress and maintain good posture with regular breaks.
"painful swallowing, white patches, headache, swollen lymph nodes, fever",Strep Throat,saltwater gargle; honey lemon tea,penicillin,Finish antibiotics and replace your toothbrush after recovery.
"mucus production, fatigue, persistent cough, mild fever",Bronchitis (Acute),honey lemon drink; thyme tea,albuterol inhaler,Avoid smoking and rest your voice while staying hydrated.
"discharge, itching, swollen eyelids, red eyes",Conjunctivitis (Pink Eye),saline eye rinse; warm compress,artificial tears,Avoid touching eyes and wash hands frequently.
"swollen eyelids, discharge, gritty feeling, red eyes, tearing, itching",Conjunctivitis (Pink Eye),saline eye rinse; warm compress,polymyxin/trimethoprim eye drops,Avoid touching eyes and wash hands frequently.
"sore throat, painful swallowing, fever, headache, white patches, swollen lymph nodes",Strep Throat,honey lemon tea,amoxicillin,Finish antibiotics and replace your toothbrush after recovery.
"thirst, dark urine, dizziness, dry mouth",Dehydration,coconut water; oral rehydration,oral rehydration salts,Increase fluid intake and avoid alcohol or caffeine.
"abdominal pain, gas, mucus in stool, cramping, alternating diarrhea and constipation, bloating",Irritable Bowel Syndrome,peppermint oil capsules,loperamide,Follow a low-FODMAP diet and manage stress.
"blurred vision, aura, sensitivity to light, vomiting, nausea, throbbing headache",Migraine,peppermint oil; cold compress,sumatriptan,Rest in a dark quiet room and track food or stress triggers.
"fever, irritability, ear pain, hearing loss, tugging at ear, fluid drainage",Otitis Media,garlic oil drops,ibuprofen,Finish antibiotics and keep ears dry while healing.
"tugging at ear, ear pain, fever, irritability, hearing loss",Otitis Media,warm compress; garlic oil drops,amoxicillin,Finish antibiotics and keep ears dry while healing.
"indigestion, bloating, burning stomach pain, vomiting",Peptic Ulcer,cabbage juice,amoxicillin-clarithromycin combo,Avoid NSAIDs and eat at regular intervals.
"headache, blurry vision, nosebleeds, dizziness, fatigue, shortness of breath",Hypertension,reduce salt,lisinopril,"Reduce salt intake, stay active, and monitor blood pressure."
"appetite change, fatigue, sleep changes",Mild Depression,sunlight exposure; regular exercise,fluoxetine,Seek counseling and maintain a consistent routine.
"pale skin, shortness of breath, fatigue, dizziness",Anemia (Iron Deficiency),blackstrap molasses; spinach smoothie,ferrous sulfate,Increase dietary iron and take supplements as directed.
"lower back pain, muscle spasms, stiffness",Back Strain,gentle stretching,ibuprofen,Practice proper lifting techniques and perform core-strengthening exercises.
"fatigue, persistent cough, mild fever, wheezing, mucus production",Bronchitis (Acute),honey lemon drink,dextromethorphan,Avoid smoking and rest your voice while staying hydrated.
"palpitations, tremor, anxiety",Hyperthyroidism,avoid caffeine,methimazole,Get regular thyroid tests and avoid excess iodine-rich food.
"fatigue, slow healing wounds, increased thirst",Type 2 Diabetes,brisk walking,metformin,"Monitor blood sugar, follow a balanced diet, and exercise regularly."
"indigestion, burning stomach pain, heartburn, bloating, vomiting, nausea",Peptic Ulcer,probiotics,amoxicillin-clarithromycin combo,Avoid NSAIDs and eat at regular intervals.
"mild cough, nasal congestion, sneezing, runny nose, low-grade fever, sore throat",Common Cold,steam inhalation; honey lemon tea,pseudoephedrine,Use a humidifier and keep the head elevated while sleeping.
"rapid breathing, anxiety, chest tightness, wheezing",Asthma Exacerbation,breathing exercises,budesonide inhaler,Use inhaler as prescribed and avoid known triggers.
"restlessness, difficulty concentrating, racing heart",Anxiety Disorder,deep breathing; chamomile tea,alprazolam,"Practice mindfulness, and engage in regular physical activity."
"fever, irritability, hearing loss, ear pain, tugging at ear",Otitis Media,warm compress; garlic oil drops,amoxicillin,Finish antibiotics and keep ears dry while healing.
"low-grade fever, sneezing, sore throat",Common Cold,honey lemon tea; saltwater gargle,pseudoephedrine,"Rest, drink plenty of fluids, and avoid close contact."
"sweating, vomiting, severe flank pain",Kidney Stones,basil tea; lemon water,tamsulosin,Drink plenty of water and strain urine to collect stones if possible.
"sore throat, nasal congestion, sneezing",Common Cold,saltwater gargle; steam inhalation,pseudoephedrine,"Rest, drink plenty of fluids, and avoid close contact."
"heat intolerance, weight loss, palpitations, tremor, anxiety",Hyperthyroidism,avoid caffeine,propranolol,Get regular thyroid tests and avoid excess iodine-rich food.
"increased appetite, anxiety, heat intolerance, weight loss, palpitations, tremor",Hyperthyroidism,avoid caffeine,propranolol,Get regular thyroid tests and avoid excess iodine-rich food.
"jaundice, shoulder pain, nausea, right upper abdomen pain",Gallstones,apple cider vinegar,ursodeoxycholic acid,Follow a low-fat diet and maintain a healthy weight.
"bloating, nausea, heartburn, vomiting",Peptic Ulcer,probiotics,amoxicillin-clarithromycin combo,Avoid NSAIDs and eat at regular intervals.
"tearing, discharge, gritty feeling",Conjunctivitis (Pink Eye),warm compress; saline eye rinse,artificial tears,Avoid touching eyes and wash hands frequently.
"decreased urine output, dry mouth, thirst",Dehydration,coconut water; oral rehydration,IV fluids,Increase fluid intake and avoid alcohol or caffeine.
"racing heart, excessive worry, difficulty concentrating, irritability",Anxiety Disorder,chamomile tea,sertraline,"Practice mindfulness, and engage in regular physical activity."
"numbness, pain radiates below knee, shooting leg pain, weakness",Sciatica,cold and heat therapy,gabapentin,Do regular stretching and avoid prolonged sitting.
"chills, body aches, high fever, dry cough, fatigue",Influenza,elderberry syrup; ginger herbal tea,oseltamivir,"Stay home, rest, and hydrate well. Begin antiviral treatment within 48 hours if prescribed."
"abdominal pain, low-grade fever, pain near navel, vomiting, loss of appetite, nausea",Appendicitis (Early),ginger tea; warm compress,ceftriaxone,Seek emergency care; surgery is usually required.
"irritability, hearing loss, fluid drainage",Otitis Media,warm compress,amoxicillin,Finish antibiotics and keep ears dry while healing.
"dizziness, fatigue, rapid heartbeat, brittle nails, shortness of breath, pale skin",Anemia (Iron Deficiency),blackstrap molasses; spinach smoothie,ferrous sulfate,Increase dietary iron and take supplements as directed.
"dry cough, chills, body aches, high fever, headache, fatigue",Influenza,chicken soup,oseltamivir,"Stay home, rest, and hydrate well. Begin antiviral treatment within 48 hours if prescribed."
"dizziness, nausea, rapid pulse, headache, weakness",Heat Exhaustion,cool fluids,electrolyte solution,Move to a cool area and sip water or an electrolyte drink.
"scalp tenderness, shoulder tension, mild light sensitivity",Tension Headache,neck stretching; warm compress,acetaminophen,Manage stress and maintain good posture with regular breaks.
"cloudy urine, lower back pain, burning urination, urgency, pelvic pain",Urinary Tract Infection,cranberry juice,nitrofurantoin,Drink plenty of water and urinate frequently to flush bacteria.
"shortness of breath, anxiety, wheezing, rapid breathing",Asthma Exacerbation,ginger tea,budesonide inhaler,Use inhaler as prescribed and avoid known triggers.
"headache, fatigue, loss of appetite, fever, itchy rash",Chickenpox,calamine lotion,acyclovir,Keep fingernails short and avoid scratching lesions.
"tingling feet, frequent urination, slow healing wounds",Type 2 Diabetes,brisk walking; cinnamon,metformin,"Monitor blood sugar, follow a balanced diet, and exercise regularly."
"chest pain on breathing, chills, fatigue, cough with phlegm, shortness of breath, fever",Pneumonia (Mild),turmeric milk,azithromycin,Complete antibiotics and practice deep breathing exercises.
"alternating diarrhea and constipation, bloating, gas, abdominal pain, cramping",Irritable Bowel Syndrome,peppermint oil capsules,loperamide,Follow a low-FODMAP diet and manage stress.
"tingling feet, frequent urination, fatigue, blurred vision, increased thirst",Type 2 Diabetes,cinnamon,metformin,"Monitor blood sugar, follow a balanced diet, and exercise regularly."
"fatigue, weight gain, dry skin",Hypothyroidism,selenium (Brazil nuts),levothyroxine,Take medication on an empty stomach and schedule regular thyroid tests.
"fever, headache, painful swallowing, white patches",Strep Throat,saltwater gargle; honey lemon tea,penicillin,Finish antibiotics and replace your toothbrush after recovery.
"weakness, tingling, numbness, lower back pain",Sciatica,turmeric milk; cold and heat therapy,naproxen,Do regular stretching and avoid prolonged sitting.
"hematuria, nausea, sweating, severe flank pain, vomiting",Kidney Stones,basil tea,ibuprofen,Drink plenty of water and strain urine to collect stones if possible.
"dry cough, sore throat, loss of smell",COVID‑19 (Mild),warm fluids; steam inhalation,acetaminophen,"Isolate, monitor symptoms, and stay hydrated."
"inflammation, rough skin, small bumps, red rash, dry patches, itchy skin",Eczema Flare,oatmeal bath,hydrocortisone cream,Moisturize daily and avoid harsh soaps or detergents.
"dizziness, nosebleeds, shortness of breath, fatigue, headache, blurry vision",Hypertension,meditation; hibiscus tea,amlodipine,"Reduce salt intake, stay active, and monitor blood pressure."
"brittle nails, shortness of breath, pale skin, rapid heartbeat, fatigue, dizziness",Anemia (Iron Deficiency),blackstrap molasses; spinach smoothie,ferrous sulfate,Increase dietary iron and take supplements as directed.
"sleep changes, fatigue, appetite change, loss of interest, persistent sadness",Mild Depression,regular exercise,fluoxetine,Seek counseling and maintain a consistent routine.
"sneezing, runny nose, post-nasal drip, itchy eyes, nasal congestion",Seasonal Allergy,saline nasal rinse,loratadine,Avoid pollen exposure and keep windows closed during high pollen counts.
"sensitivity to light, nausea, vomiting, aura",Migraine,rest in a dark room; peppermint oil,sumatriptan,Rest in a dark quiet room and track food or stress triggers.
"severe flank pain, nausea, frequent urination, hematuria, vomiting",Kidney Stones,lemon water; basil tea,ibuprofen,Drink plenty of water and strain urine to collect stones if possible.
"tingling feet, frequent urination, blurred vision, increased thirst",Type 2 Diabetes,brisk walking; fenugreek seeds,glipizide,"Monitor blood sugar, follow a balanced diet, and exercise regularly."
"fatigue, wheezing, chest tightness, mild fever",Bronchitis (Acute),thyme tea; honey lemon drink,albuterol inhaler,Avoid smoking and rest your voice while staying hydrated.
"pelvic pain, cloudy urine, urgency",Urinary Tract Infection,drinking water,trimethoprim‑sulfamethoxazole,Drink plenty of water and urinate frequently to flush bacteria.
"nausea, frequent urination, severe flank pain, sweating, vomiting",Kidney Stones,lemon water,tamsulosin,Drink plenty of water and strain urine to collect stones if possible.
"joint pain, scaly patches, nail pitting, cracked skin",Psoriasis Flare,aloe vera gel; omega‑3 fish oil,vitamin D analog,Keep skin moisturized and avoid triggers like stress or smoking.
"facial pain, reduced smell, nasal congestion, headache",Sinusitis,steam inhalation; warm compress,amoxicillin,Use a humidifier and stay hydrated to thin mucus.
"red plaques, nail pitting, itchy skin, joint pain, scaly patches",Psoriasis Flare,aloe vera gel; omega‑3 fish oil,clobetasol,Keep skin moisturized and avoid triggers like stress or smoking.
"fatigue, chest tightness, persistent cough, wheezing, mild fever, mucus production",Bronchitis (Acute),honey lemon drink,albuterol inhaler,Avoid smoking and rest your voice while staying hydrated.
"reduced mobility, pain worse after activity, stiffness, swelling, creaking joints",Osteoarthritis Knee,warm compress,diclofenac gel,Engage in low-impact exercise and maintain a healthy weight.
